time,open,high,low,close,tick_volume,spread,real_volume
2022-10-06 03:00:00,0.99118,0.99263,0.99084,0.99169,5971,1,0
2022-10-06 04:00:00,0.99169,0.99195,0.99031,0.99109,6612,1,0
2022-10-06 05:00:00,0.99108,0.99191,0.99049,0.99154,4926,1,0
2022-10-06 06:00:00,0.99154,0.99265,0.99133,0.99166,4119,1,0
2022-10-06 07:00:00,0.99167,0.9921,0.99095,0.9921,3244,1,0
2022-10-06 08:00:00,0.9921,0.9926,0.99124,0.99222,4285,1,0
2022-10-06 09:00:00,0.99223,0.99228,0.98931,0.98965,9680,1,0
2022-10-06 10:00:00,0.98965,0.99206,0.98942,0.99106,14869,1,0
2022-10-06 11:00:00,0.99106,0.99129,0.98752,0.98884,12764,1,0
2022-10-06 12:00:00,0.98885,0.99028,0.98849,0.98888,10775,1,0
2022-10-06 13:00:00,0.98888,0.98943,0.98743,0.98854,10210,1,0
2022-10-06 14:00:00,0.98854,0.98932,0.9858,0.98685,11478,1,0
2022-10-06 15:00:00,0.98685,0.98822,0.98557,0.98687,11655,1,0
2022-10-06 16:00:00,0.98686,0.98705,0.98185,0.98291,17041,1,0
2022-10-06 17:00:00,0.98291,0.98445,0.98183,0.98404,18107,1,0
2022-10-06 18:00:00,0.98406,0.98448,0.9804,0.98049,13236,1,0
2022-10-06 19:00:00,0.98048,0.98105,0.97881,0.98025,11165,1,0
2022-10-06 20:00:00,0.98025,0.98167,0.97993,0.98162,7846,1,0
2022-10-06 21:00:00,0.98164,0.98168,0.97921,0.97926,8549,1,0
2022-10-06 22:00:00,0.97925,0.98014,0.97896,0.97967,9052,1,0
2022-10-06 23:00:00,0.97966,0.98023,0.97891,0.97912,4593,1,0
2022-10-07 00:00:00,0.97896,0.97973,0.9785,0.97921,709,1,0
2022-10-07 01:00:00,0.97921,0.97977,0.97915,0.9793,1366,1,0
2022-10-07 02:00:00,0.9793,0.97971,0.97864,0.9789,2750,1,0
2022-10-07 03:00:00,0.97893,0.97977,0.97865,0.97931,5776,1,0
2022-10-07 04:00:00,0.97932,0.97991,0.97866,0.9798,5386,1,0
2022-10-07 05:00:00,0.97978,0.9812,0.97939,0.98076,4029,1,0
2022-10-07 06:00:00,0.98076,0.98115,0.9802,0.98049,3482,1,0
2022-10-07 07:00:00,0.98049,0.98073,0.97915,0.97916,3103,1,0
2022-10-07 08:00:00,0.97917,0.9804,0.97917,0.98013,3988,1,0
2022-10-07 09:00:00,0.98012,0.98012,0.97657,0.97817,10233,1,0
2022-10-07 10:00:00,0.97817,0.9809,0.97814,0.97986,11529,1,0
2022-10-07 11:00:00,0.97986,0.98169,0.97934,0.98017,10010,1,0
2022-10-07 12:00:00,0.98018,0.98112,0.97923,0.98061,7859,1,0
2022-10-07 13:00:00,0.98061,0.98084,0.97908,0.97968,7491,1,0
2022-10-07 14:00:00,0.97967,0.98046,0.97872,0.97873,6970,1,0
2022-10-07 15:00:00,0.97872,0.98032,0.97261,0.97502,18199,1,0
2022-10-07 16:00:00,0.97502,0.97691,0.97417,0.97487,21164,1,0
2022-10-07 17:00:00,0.97487,0.97911,0.97443,0.9786,19637,1,0
2022-10-07 18:00:00,0.97859,0.97901,0.97711,0.97839,13291,1,0
2022-10-07 19:00:00,0.97839,0.97844,0.97555,0.9761,9703,1,0
